10331;Worker;3;ore;826
10367;Worker;0;ore;196
10368;Worker;1;ore;445
10371;Worker;1;block;448
10380;Worker;0;ore;209
10382;Worker;0;ore;211
10383;Worker;3;ore;877
10388;Worker;3;ore;883
10389;Worker;3;block;884
10393;Worker;0;ore;222
10397;Worker;2;ore;47
10397;Worker;2;block;47
10442;Worker;0;ore;271
10468;Worker;0;ore;297
10509;Worker;0;ore;338
10518;Worker;0;ore;347
10534;Worker;0;ore;363
10547;Worker;0;ore;376
10563;Worker;1;ore;16
10580;Worker;0;ore;409
10602;Worker;1;ore;55
10609;Worker;0;ore;438
10623;Worker;1;ore;76
10624;Worker;1;block;77
10629;Worker;0;ore;458
10646;Worker;0;ore;475
10646;Worker;0;ore;475
10673;Worker;0;ore;502
10704;Worker;0;ore;533
10754;Worker;0;ore;583
10759;Worker;0;ore;588
10788;Worker;0;ore;617
10803;Worker;0;ore;632
10832;Worker;0;ore;661
10847;Worker;0;ore;676
10880;Worker;0;ore;709
10912;Worker;2;ore;17
10913;Worker;2;block;18
10921;Worker;0;ore;750
10967;Worker;3;ore;30
10968;Worker;3;block;31
10972;Worker;0;ore;801
10984;Worker;0;ore;813
10986;Worker;1;ore;18
10991;Worker;2;ore;12
10992;Worker;2;block;12
11015;Worker;3;ore;26
11016;Worker;3;block;27
11022;Worker;1;ore;54
11026;Worker;0;ore;855
11027;Worker;0;block;856
11029;Worker;2;ore;26
11032;Worker;3;ore;4
11034;Worker;3;block;6
11055;Worker;2;ore;52
11057;Worker;1;ore;89
11073;Worker;1;ore;105
11086;Worker;1;ore;118
11092;Worker;2;ore;89
11118;Worker;2;ore;115
11126;Worker;1;ore;158
11144;Worker;1;ore;176
11164;Worker;2;ore;161
11167;Worker;1;ore;199
11174;Worker;1;ore;206
11187;Worker;1;ore;219
11187;Worker;2;ore;184
11216;Worker;2;ore;213
11235;Worker;1;ore;267
11239;Worker;3;ore;18
11248;Worker;3;ore;27
11249;Worker;2;ore;245
11249;Worker;3;block;28
11250;Worker;1;ore;282
11276;Worker;1;ore;308
11286;Worker;2;ore;283
11290;Worker;2;ore;287
11291;Worker;2;block;288
11294;Worker;1;ore;326
11294;Worker;1;ore;326
11333;Worker;1;ore;365
11379;Worker;1;ore;411
11379;Worker;1;block;411
11453;Worker;3;ore;27
11453;Worker;3;block;27
11497;Worker;0;ore;44
11500;Worker;0;ore;47
11539;Worker;0;ore;86
11578;Worker;0;ore;125
11602;Worker;0;ore;149
11608;Worker;0;ore;155
11624;Worker;0;ore;171
11669;Worker;0;ore;216
11701;Worker;0;ore;248
11724;Worker;0;ore;271
11743;Worker;1;ore;30
11744;Worker;1;block;31
11753;Worker;3;ore;30
11762;Worker;3;ore;39
11765;Worker;0;ore;312
11772;Worker;2;ore;7
11773;Worker;2;block;7
11792;Worker;1;ore;16
11793;Worker;1;block;16
11795;Worker;3;ore;72
11796;Worker;3;block;73
11809;Worker;1;ore;5
11810;Worker;1;block;6
11816;Worker;0;ore;363
11829;Worker;2;ore;41
11844;Worker;0;ore;391
11851;Worker;1;ore;4
11854;Worker;3;ore;18
11855;Worker;3;block;18
11856;Worker;1;ore;9
11874;Worker;2;ore;86
11879;Worker;0;ore;426
